name,place,type,speciality,price,price_unit,rating,contact,note
Chotiwala Restaurant,Rishikesh,restaurant,"Pure veg thali since 1958, Ganga view seating",250,per person,4.3,74000-11223,"Iconic local family business at Swarg Ashram"
Ganga Beach Cafe,Rishikesh,cafe,"Wood-fire pizza, herbal teas, river deck",350,per person,4.5,74000-11224,"Run by local youth group of Tapovan"
Bikaner Sweets Haridwar,Haridwar,restaurant,"Kachori, jalebi and aloo puri breakfast",120,per person,4.4,74000-11225,"3rd generation halwai near Har Ki Pauri"
Mohanji Puriwale,Haridwar,restaurant,"Famous puri sabzi since 1930",100,per person,4.5,74000-11226,"Heritage eatery of Haridwar bazaar"
Kalsang Friends Corner,Mussoorie,restaurant,"Tibetan thukpa and momos on Mall Road",300,per person,4.5,74000-11227,"Popular local Tibetan family kitchen"
Landour Bakehouse,Mussoorie,cafe,"Old recipes of Landour, cinnamon rolls",400,per person,4.6,74000-11228,"Heritage bakery supporting hill farmers"
Sonam Momos Nainital,Nainital,restaurant,"Steamed momos at Tallital chowk",100,per person,4.4,74000-11229,"Street-side family stall since 1995"
Machan Restaurant,Nainital,restaurant,"Kumaoni thali and lake view tables",350,per person,4.3,74000-11230,"Local staff, sources from Bhimtal farms"
Baba Cake House,Kausani,cafe,"Bal mithai and homemade cakes",150,per person,4.5,74000-11231,"Almora bal mithai from local khoya"
Sharma Vaishno Dhaba,Joshimath,restaurant,"Rajma chawal and parathas for yatris",180,per person,4.2,74000-11232,"Feeds Auli and Badrinath travellers year-round"
Himalayan Flavours Chopta,Chopta,restaurant,"Maggi point and pahadi dal bhaat at trek base",150,per person,4.3,74000-11233,"Seasonal stall run by Sari village family"
Corbett Machan Dhaba,Ramnagar,restaurant,"Tandoori and Kumaoni raita near Bijrani gate",280,per person,4.2,74000-11234,"Employs 12 locals from Dhikuli village"
Negi Ji Taxi Service,Rishikesh,taxi,"Sedan/SUV for Char Dham and local sightseeing",3500,per day,4.6,74000-11235,"Union-registered local drivers, fixed rates"
Kumaon Cabs Kathgodam,Nainital,taxi,"Airport/railway pickup to all Kumaon hills",3000,per day,4.5,74000-11236,"Local driver-owner collective, 22 vehicles"
Garhwal Riders Bike Rental,Rishikesh,rental,"Royal Enfield and scooty rental with helmets",1200,per day,4.4,74000-11237,"Local startup by 3 Rishikesh graduates"
Auli Ski Gear Rentals,Auli,rental,"Ski set, snow boots, jackets on the slope",800,per day,4.3,74000-11238,"Gear shop run by GMVN-trained local instructors"
Trek Himalaya Guides,Chopta,guide,"Certified guides for Tungnath-Chandrashila",1500,per day,4.8,74000-11239,"Guides from Sari and Ukhimath villages"
Kedar Yatra Sahayak,Sonprayag,guide,"Registered porters, palki and guide service",2000,per day,4.6,74000-11240,"Direct booking pays villagers full amount"
Nanda Devi Trek Crew,Munsiyari,guide,"Khaliya Top and Milam glacier guided treks",1800,per day,4.7,74000-11241,"Johar valley guide cooperative"
Corbett Nature Guides,Ramnagar,guide,"Forest-dept certified birding and safari guides",1200,per safari,4.7,74000-11242,"Mandatory guides — book a local directly"
Ganga Rafting Co-op,Rishikesh,adventure,"16 km Shivpuri rafting with certified crew",600,per person,4.7,74000-11243,"Co-operative of 40 local raft owners"
Bhimtal Paragliding Club,Bhimtal,adventure,"Tandem flights over Naukuchiatal",1800,per flight,4.6,74000-11244,"Pilots trained from local villages"
Himalayan Woolens Almora,Almora,artisan,"Hand-woven shawls and tweed of Kumaon",900,per item,4.6,74000-11245,"Women weaver collective, 60 members"
Aipan Art Studio,Almora,artisan,"Traditional Aipan folk art, live workshop",500,per workshop,4.7,74000-11246,"GI-tagged Kumaoni art by local women"
Tamta Copperware Bazaar,Almora,artisan,"Handmade copper utensils of Tamta community",700,per item,4.5,74000-11247,"200-year-old craft lane of Almora"
Munsiyari Wool House,Munsiyari,artisan,"Angora caps, mufflers and pankhi weaves",600,per item,4.5,74000-11248,"Bhotia weaver families of Johar valley"
Rishikesh Yogpeeth,Rishikesh,experience,"Drop-in yoga and meditation classes by the Ganga",400,per class,4.7,74000-11249,"Certified local yoga teachers"
Pahadi Organic Store,Mussoorie,artisan,"Buransh squash, honey, red rice, jams",300,per item,4.5,74000-11250,"Sources from 80 Jaunpur farmer families"
Village Ways Kumaon,Mukteshwar,experience,"Village walk, orchard tour and Kumaoni lunch",800,per person,4.8,74000-11251,"Community tourism — income goes to village fund"
Deoria Tal Camp Kitchen,Chopta,experience,"Bonfire dinner and star-gazing at the lake",700,per person,4.6,74000-11252,"Run by Sari village homestay group"
