name,place,type,band,price_per_night,rating,notes
GMVN Tourist Rest House Rishikesh,Rishikesh,government,budget,1100,4.0,"State run, near Muni ki Reti, reliable in season"
Zostel Rishikesh,Rishikesh,hostel,budget,700,4.5,"Dorms and privates, backpacker vibe, river view cafe"
Aloha on the Ganges,Rishikesh,resort,comfort,6500,4.5,"Riverside pool resort near Laxman Jhula"
Shivpuri Adventure Camp,Rishikesh,camp,standard,1800,4.4,"Swiss tents with rafting combo packages"
Hotel Ganga Lahari,Haridwar,hotel,comfort,5200,4.6,"Right on the ghat, aarti view from terrace"
Bhaj Govindam Dharamshala,Haridwar,dharamshala,budget,600,4.2,"Clean rooms near Har Ki Pauri, family friendly"
Hotel Alpina Haridwar,Haridwar,hotel,standard,2200,4.1,"Mid range, walkable to ghats"
Hotel Padmini Nilaya,Mussoorie,hotel,standard,2400,4.2,"Near Mall Road with valley view rooms"
Rokeby Manor,Mussoorie,heritage,comfort,9000,4.7,"Landour colonial estate, forest walks"
GMVN Gandhi Bhawan Mussoorie,Mussoorie,government,budget,1300,3.9,"State run, Library end location"
Hotel Himalaya Nainital,Nainital,hotel,standard,2800,4.3,"Mall Road, lake facing options"
The Naini Retreat,Nainital,heritage,comfort,8500,4.6,"Maharaja era property above the lake"
Zostel Nainital,Nainital,hostel,budget,650,4.4,"Hilltop hostel with lake view terrace"
Neelesh Inn Bhimtal,Bhimtal,hotel,standard,3200,4.4,"Lake facing balconies, quiet location"
Mountain Trail Mukteshwar,Mukteshwar,resort,standard,3400,4.5,"Orchard resort near Chauli ki Jali"
Frozen Woods Homestay,Mukteshwar,homestay,budget,1500,4.6,"Family run, home cooked Kumaoni food"
Corbett Machaan Resort,Ramnagar,resort,standard,3800,4.3,"Near Bijrani gate, safari desk in lobby"
Dhikala Forest Rest House,Ramnagar,government,standard,2500,4.7,"Inside core zone, book via forest department"
Chevron Rosemount Ranikhet,Ranikhet,heritage,standard,3000,4.4,"1899 colonial bungalow in pine woods"
Kasar Rainbow Resort,Almora,homestay,budget,1400,4.4,"Kasar Devi ridge, sunset point walkable"
Krishna Mountview Kausani,Kausani,resort,standard,3600,4.5,"Direct Trishul and Nanda Devi views"
GMVN Tourist Bungalow Auli,Auli,government,standard,2600,4.1,"Next to the slopes, book early for Jan-Feb"
The Cliff Top Club Auli,Auli,resort,comfort,9500,4.5,"Ski in ski out, ropeway adjacent"
Chopta Meadows Camp,Chopta,camp,budget,1400,4.4,"Alpine camps at Tungnath trek base"
GMVN Rest House Sonprayag,Sonprayag,government,budget,1200,3.9,"Yatra season base before Kedarnath trek"
Punjab Sindh Awas Kedarnath,Kedarnath,dharamshala,budget,900,4.0,"Near temple, basic rooms for pilgrims"
Hotel Snow Crest Badrinath,Badrinath,hotel,standard,3000,4.2,"Alaknanda view, walk to temple"
Ghangaria Guest House,Govindghat,guesthouse,budget,1300,4.0,"Base for Valley of Flowers and Hemkund"
Harsil Village Homestay,Harsil,homestay,budget,1600,4.6,"Apple orchard family stay by the Bhagirathi"
Milam Inn Munsiyari,Munsiyari,hotel,standard,2400,4.3,"Panchachuli view rooms, trek arrangements"
