name,place,month,duration_days,note
Uttarayani Mela,Bageshwar,1,7,"Biggest winter fair of Kumaon at the Saryu-Gomti confluence"
Auli Winter Games Week,Auli,2,5,"Ski races and snowboarding demos on the main slope"
Phool Dei,All Uttarakhand,3,1,"Children place flowers and rice on doorsteps to welcome spring"
International Yoga Festival,Rishikesh,3,7,"Global yoga schools gather at Parmarth Niketan"
Purnagiri Mela,Champawat,3,30,"Pilgrimage fair at the Purnagiri Shakti Peeth above the Kali river"
Bikhauti Mela,Dwarahat,4,2,"Traditional Kumaoni fair marking the solar new year"
Char Dham Kapat Opening,"Kedarnath, Badrinath, Gangotri, Yamunotri",5,3,"Portals of the four shrines open, yatra season begins"
Ganga Dussehra,Haridwar,6,1,"Grand bathing day at Har Ki Pauri with special aarti"
Harela,All Kumaon,7,1,"Green festival of sowing, saplings planted across villages"
Kanwar Yatra,Haridwar,7,15,"Millions carry Ganga water on foot, expect heavy traffic on NH 334"
Valley of Flowers Peak Bloom,Chamoli,8,31,"Alpine valley at full bloom, best photography window"
Nanda Devi Mahotsav,Almora and Nainital,9,5,"Processions and cultural nights honouring Nanda Devi"
Kedarnath Closing Ceremony,Kedarnath,11,1,"Kapat close for winter, deity moves to Ukhimath"
Igas Bagwal,Garhwal villages,11,1,"Mountain Diwali celebrated 11 days after Diwali with bhailo fire play"
Jauljibi Mela,Pithoragarh,11,7,"Historic trade fair at the India-Nepal confluence of Kali and Gori"
Auli Snow Carnival,Auli,12,3,"Snow sculptures, night skiing and local food stalls"
