id,name,district,cluster,category,setting,best_months,cost_per_day,entry_fee,min_days,rating,crowd,nearest_hub,tags,description,image
1,Kedarnath Temple,Rudraprayag,chardham_garhwal,pilgrimage,outdoor,"5,6,9,10",1800,0,2,4.9,high,Sonprayag,temple;chardham;trek;shiva,"One of the twelve Jyotirlingas at 3583 m, reached by a 16 km trek or helicopter from Sonprayag. Part of the Char Dham circuit.",kedarnath.jpg
2,Badrinath Temple,Chamoli,chardham_garhwal,pilgrimage,outdoor,"5,6,9,10",1600,0,2,4.9,high,Joshimath,temple;chardham;vishnu,"Sacred Vishnu shrine between Nar and Narayan peaks on the banks of Alaknanda. Tapt Kund hot spring lies below the temple.",badrinath.jpg
3,Har Ki Pauri,Haridwar,rishikesh_corridor,pilgrimage,outdoor,"1,2,3,4,9,10,11,12",1000,0,1,4.7,high,Haridwar,ganga;aarti;ghat,"Most revered ghat of Haridwar. The evening Ganga Aarti with floating diyas is the highlight of any visit.",haridwar.jpg
4,Mansa Devi Temple,Haridwar,rishikesh_corridor,pilgrimage,mixed,"1,2,3,4,9,10,11,12",900,120,1,4.5,high,Haridwar,temple;ropeway;view,"Hilltop Shakti temple reached by ropeway with a panoramic view of Haridwar city and the Ganga.",haridwar.jpg
5,Triveni Ghat,Rishikesh,rishikesh_corridor,pilgrimage,outdoor,"1,2,3,4,9,10,11,12",900,0,1,4.6,medium,Rishikesh,ganga;aarti;ghat,"Largest ghat of Rishikesh where the Maha Aarti is performed every evening at sunset.",rishikesh.jpg
6,Laxman Jhula and Ram Jhula,Rishikesh,rishikesh_corridor,sightseeing,outdoor,"1,2,3,4,9,10,11,12",900,0,1,4.6,high,Rishikesh,bridge;ganga;cafe,"Iconic suspension bridges across the Ganga surrounded by ashrams, temples and riverside cafes.",rishikesh.jpg
7,Ganga River Rafting,Rishikesh,rishikesh_corridor,adventure,outdoor,"3,4,5,9,10,11",1500,600,1,4.8,high,Rishikesh,rafting;rapids;adventure,"16 to 26 km white water rafting stretches from Shivpuri and Marine Drive with Grade II and III rapids.",rishikesh.jpg
8,Bungee Jumping Mohanchatti,Rishikesh,rishikesh_corridor,adventure,outdoor,"2,3,4,5,9,10,11",2500,3700,1,4.7,medium,Rishikesh,bungee;thrill,"83 m fixed platform bungee jump, one of the highest in India, run by trained jump masters.",rishikesh.jpg
9,Neer Garh Waterfall,Rishikesh,rishikesh_corridor,nature,outdoor,"3,4,5,6,9,10",800,50,1,4.4,medium,Rishikesh,waterfall;short-trek,"A short forest trek from Laxman Jhula road leads to these twin waterfalls with natural pools.",valley_of_flowers.jpg
10,Beatles Ashram,Rishikesh,rishikesh_corridor,heritage,mixed,"1,2,3,4,9,10,11,12",900,150,1,4.5,medium,Rishikesh,heritage;graffiti;ashram,"Abandoned Maharishi Mahesh Yogi ashram where the Beatles stayed in 1968, now an art and meditation space inside Rajaji reserve.",rishikesh.jpg
11,Robber's Cave,Dehradun,rishikesh_corridor,nature,outdoor,"3,4,5,6,9,10,11",800,35,1,4.3,medium,Dehradun,cave;stream;picnic,"A 600 m river cave where a cold stream flows between narrow gorge walls. Locally called Gucchupani.",valley_of_flowers.jpg
12,Sahastradhara,Dehradun,rishikesh_corridor,nature,outdoor,"3,4,5,6,9,10,11",800,50,1,4.2,medium,Dehradun,waterfall;sulphur-spring,"Thousand fold spring with sulphur water terraces and a ropeway to the hilltop viewpoint.",valley_of_flowers.jpg
13,Forest Research Institute,Dehradun,rishikesh_corridor,heritage,indoor,"1,2,3,4,5,6,7,8,9,10,11,12",800,40,1,4.6,low,Dehradun,museum;colonial;architecture,"Greco Roman heritage campus of 1906 with six forestry museums, a favourite film shooting location.",mussoorie.jpg
14,Mindrolling Monastery,Dehradun,rishikesh_corridor,heritage,indoor,"1,2,3,4,5,6,7,8,9,10,11,12",800,0,1,4.6,low,Dehradun,monastery;stupa;buddhist,"One of the largest Buddhist centres in India with the 60 m Great Stupa and peaceful gardens.",mussoorie.jpg
15,Mall Road Mussoorie,Dehradun,rishikesh_corridor,hill_station,mixed,"3,4,5,6,9,10,11,12",1400,0,1,4.5,high,Mussoorie,mall-road;shopping;colonial,"The heart of the Queen of Hills lined with cafes, view points and colonial era buildings.",mussoorie.jpg
16,Kempty Falls,Dehradun,rishikesh_corridor,nature,outdoor,"3,4,5,6,9,10",1000,0,1,4.1,high,Mussoorie,waterfall;bathing,"40 ft waterfall 15 km from Mussoorie with bathing pools and a ropeway across the valley.",valley_of_flowers.jpg
17,Gun Hill Ropeway,Dehradun,rishikesh_corridor,hill_station,mixed,"3,4,5,6,9,10,11,12",1200,150,1,4.3,high,Mussoorie,ropeway;viewpoint,"Second highest point of Mussoorie with cable car rides and Himalayan panorama on clear days.",mussoorie.jpg
18,George Everest Peak,Dehradun,rishikesh_corridor,trek,outdoor,"3,4,5,6,9,10,11",1000,0,1,4.5,medium,Mussoorie,sunset;short-trek;heritage,"House and viewpoint of Sir George Everest with 360 degree views of Doon valley and Aglar river valley.",mussoorie.jpg
